Date : 2023-09-26 19:02:52
Directory : /Users/davidmejia/HenryEtapaPractica/Vianda-app
Total : 126 files,  21777 codes, 476 comments, 918 blanks, all 23171 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/app/catalog/mi-cuenta/pedidos                                                                              |          1 |         26 |          1 |          6 |         33 |
| src/app/catalog/registro                                                                                       |          1 |         10 |          0 |          3 |         13 |
| src/app/cocina                                                                                                 |          1 |         12 |          0 |          7 |         19 |
| src/app/repartidor                                                                                             |          1 |         96 |         17 |         13 |        126 |
| src/app/role-redirect                                                                                          |          1 |         60 |          0 |          6 |         66 |
| src/components                                                                                                 |         54 |      5,230 |        230 |        462 |      5,922 |
| src/components/LandingComponents                                                                               |          3 |        142 |          1 |         15 |        158 |
| src/components/LoginLogout                                                                                     |          1 |         42 |          0 |         12 |         54 |
| src/components/actions                                                                                         |          3 |         92 |          0 |          8 |        100 |
| src/components/addToCart                                                                                       |          1 |         50 |          0 |          4 |         54 |
| src/components/adminCocina                                                                                     |          1 |        313 |          0 |         36 |        349 |
| src/components/adminLayout                                                                                     |         15 |      1,602 |         58 |        125 |      1,785 |
| src/components/adminLayout (Files)                                                                             |          8 |        585 |          2 |         57 |        644 |
| src/components/adminLayout/forms                                                                               |          2 |        528 |         44 |         28 |        600 |
| src/components/adminLayout/listaPedidos                                                                        |          1 |        147 |          1 |          7 |        155 |
| src/components/adminLayout/menu                                                                                |          2 |        212 |          8 |         18 |        238 |
| src/components/adminLayout/pedidos                                                                             |          1 |         38 |          3 |          4 |         45 |
| src/components/adminLayout/usuarios                                                                            |          1 |         92 |          0 |         11 |        103 |
| src/components/cards                                                                                           |          5 |        245 |          5 |         33 |        283 |
| src/components/cartCounter                                                                                     |          1 |         11 |          0 |          3 |         14 |
| src/components/checkout                                                                                        |          2 |        427 |         21 |         40 |        488 |
| src/components/deleteFromCart                                                                                  |          1 |         15 |          1 |          3 |         19 |
| src/components/detailll                                                                                        |          1 |        130 |          3 |         11 |        144 |
| src/components/entregaRepartidor                                                                               |          3 |        267 |        119 |         34 |        420 |
| src/components/footer                                                                                          |          4 |        180 |          3 |         22 |        205 |
| src/components/formaters                                                                                       |          2 |         29 |          0 |          4 |         33 |
| src/components/home                                                                                            |          3 |        175 |          0 |         17 |        192 |
| src/components/login                                                                                           |          1 |        194 |          5 |         13 |        212 |
| src/components/mi-cuenta                                                                                       |          3 |        721 |          8 |         50 |        779 |
| src/components/navbar                                                                                          |          1 |        150 |          0 |          9 |        159 |
| src/components/register                                                                                        |          3 |        445 |          6 |         23 |        474 |
| src/context                                                                                                    |          2 |        165 |          0 |         27 |        192 |
| src/libs                                                                                                       |          3 |         41 |         32 |         11 |         84 |
| src/libs (Files)                                                                                               |          1 |         11 |          0 |          4 |         15 |
| src/libs/utils                                                                                                 |          2 |         30 |         32 |          7 |         69 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                       | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/.eslintrc.json                                                 | JSON with Comments |          3 |          0 |          1 |          4 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/README.md                                                      | Markdown           |         21 |          0 |         14 |         35 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/jsconfig.json                                                  | JSON with Comments |          4 |          4 |          0 |          8 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/next.config.js                                                 | JavaScript         |          8 |          8 |          0 |         16 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/package-lock.json                                              | JSON               |     11,287 |          0 |          1 |     11,288 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/package.json                                                   | JSON               |         48 |          0 |          1 |         49 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/postcss.config.js                                              | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/prisma/migrations/20230920171412_init/migration.sql            | SQL                |         59 |         11 |         15 |         85 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/prisma/migrations/20230920171803_dni_unique/migration.sql      | SQL                |          1 |          7 |          1 |          9 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/prisma/schema.prisma                                           | Prisma             |         80 |          2 |         11 |         93 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/public_old/images/corporate/icon.svg                           | XML                |          3 |          0 |          1 |          4 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/public_old/images/corporate/logoViandApp.svg                   | XML                |         11 |          0 |          1 |         12 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/Providers.js                                           | JavaScript         |         10 |          0 |          3 |         13 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/dev/page.jsx                                     | JavaScript JSX     |        188 |         10 |         12 |        210 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/layout.jsx                                       | JavaScript JSX     |         30 |          1 |          5 |         36 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/mensajero/page.jsx                               | JavaScript JSX     |         72 |          5 |          8 |         85 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/menu/issue-menu/page.jsx                         | JavaScript JSX     |        142 |          0 |          8 |        150 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/menu/page.jsx                                    | JavaScript JSX     |        103 |          0 |          6 |        109 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/page.jsx                                         | JavaScript JSX     |          6 |          0 |          3 |          9 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/pedidos/[pedidoId]/page.jsx                      | JavaScript JSX     |         73 |          0 |          5 |         78 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/pedidos/page.jsx                                 | JavaScript JSX     |        125 |          7 |         12 |        144 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/pedidos/pedidos-pdf/page.jsx                     | JavaScript JSX     |        141 |         34 |         11 |        186 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/usuarios/actualizar-usuario/[usuarioId]/page.jsx | JavaScript JSX     |         10 |          0 |          3 |         13 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/usuarios/nuevo-usuario/page.jsx                  | JavaScript JSX     |         25 |          1 |          5 |         31 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/usuarios/page.jsx                                | JavaScript JSX     |        161 |         13 |         16 |        190 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/viandas/actualizar-vianda/[viandaId]/page.jsx    | JavaScript JSX     |          9 |          1 |          3 |         13 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/viandas/nueva-vianda/page.jsx                    | JavaScript JSX     |         10 |          1 |          3 |         14 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/admin/viandas/page.jsx                                 | JavaScript JSX     |        159 |          4 |         13 |        176 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/auth/check/route.js                                | JavaScript         |         16 |          0 |          4 |         20 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/auth/login/route.js                                | JavaScript         |         64 |          3 |          5 |         72 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/auth/loginGoogle/route.js                          | JavaScript         |         60 |          0 |          3 |         63 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/auth/logout/route.js                               | JavaScript         |         27 |          0 |          3 |         30 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/auth/modify/route.js                               | JavaScript         |         36 |          0 |          3 |         39 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/carta/[cartaId]/route.js                           | JavaScript         |         22 |          3 |          5 |         30 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/carta/route.js                                     | JavaScript         |         87 |          9 |          4 |        100 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/email/route.js                                     | JavaScript         |         20 |          0 |          4 |         24 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/email/sandbox.html                                 | HTML               |        313 |          0 |          7 |        320 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/email/templates.js                                 | JavaScript         |      1,433 |          0 |         33 |      1,466 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/menu/route.js                                      | JavaScript         |         62 |          3 |          7 |         72 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pagos/route.js                                     | JavaScript         |         32 |          0 |          3 |         35 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pagos/webhook/route.js                             | JavaScript         |         41 |          1 |          6 |         48 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pedidos/[usuarioId]/route.js                       | JavaScript         |         38 |         15 |          4 |         57 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pedidos/detalle-pedido/[pedidoId]/route.js         | JavaScript         |         44 |          0 |          4 |         48 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pedidos/route.js                                   | JavaScript         |        152 |          0 |         12 |        164 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/usuarios/[usuarioId]/route.js                      | JavaScript         |         97 |          0 |          9 |        106 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/usuarios/registro/route.js                         | JavaScript         |         49 |          0 |          5 |         54 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/usuarios/route.js                                  | JavaScript         |         70 |          0 |          5 |         75 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/viandas/[viandaId]/route.js                        | JavaScript         |         38 |          3 |          8 |         49 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/viandas/route.js                                   | JavaScript         |        211 |         26 |         16 |        253 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/checkout/page.jsx                              | JavaScript JSX     |         17 |          0 |          3 |         20 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/layout.jsx                                     | JavaScript JSX     |         28 |          1 |          5 |         34 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/login/page.jsx                                 | JavaScript JSX     |          9 |          0 |          5 |         14 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/mi-cuenta/page.jsx                             | JavaScript JSX     |         22 |          1 |          4 |         27 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/mi-cuenta/pedidos/page.jsx                     | JavaScript JSX     |         26 |          1 |          6 |         33 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/page.jsx                                       | JavaScript JSX     |         63 |          2 |          9 |         74 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/registro/page.jsx                              | JavaScript JSX     |         10 |          0 |          3 |         13 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/cocina/page.jsx                                        | JavaScript JSX     |         12 |          0 |          7 |         19 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/firebase.js                                            | JavaScript         |         12 |          5 |          3 |         20 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/globals.css                                            | CSS                |         16 |          8 |          5 |         29 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/layout.jsx                                             | JavaScript JSX     |         48 |          2 |          3 |         53 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/loading.js                                             | JavaScript         |         18 |          0 |          3 |         21 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/not-found.js                                           | JavaScript         |         28 |          0 |          4 |         32 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/page.js                                                | JavaScript         |         87 |          1 |          8 |         96 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/repartidor/page.jsx                                    | JavaScript JSX     |         96 |         17 |         13 |        126 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/role-redirect/page.jsx                                 | JavaScript JSX     |         60 |          0 |          6 |         66 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/LandingComponents/CallToAction.jsx              | JavaScript JSX     |         31 |          0 |          3 |         34 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/LandingComponents/HowWorks.jsx                  | JavaScript JSX     |         75 |          1 |          8 |         84 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/LandingComponents/InfoEmpresa.jsx               | JavaScript JSX     |         36 |          0 |          4 |         40 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/LoginLogout/LoginLogout.jsx                     | JavaScript JSX     |         42 |          0 |         12 |         54 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/actions/EditCrud.jsx                            | JavaScript JSX     |         12 |          0 |          2 |         14 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/actions/ToogleEstadoUsuario.jsx                 | JavaScript JSX     |         40 |          0 |          3 |         43 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/actions/ToogleEstadoVianda.jsx                  | JavaScript JSX     |         40 |          0 |          3 |         43 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/addToCart/AddToCart.jsx                         | JavaScript JSX     |         50 |          0 |          4 |         54 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminCocina/PedidosCocina.jsx                   | JavaScript JSX     |        313 |          0 |         36 |        349 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/ClearFilters.jsx                    | JavaScript JSX     |         73 |          0 |          7 |         80 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/Filters.jsx                         | JavaScript JSX     |         74 |          0 |          7 |         81 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/FiltersByField.jsx                  | JavaScript JSX     |        107 |          0 |          7 |        114 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/NavAdmin.jsx                        | JavaScript JSX     |        144 |          0 |          9 |        153 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/NotAdmin.jsx                        | JavaScript JSX     |         62 |          0 |          7 |         69 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/OrderByField.jsx                    | JavaScript JSX     |         45 |          2 |          9 |         56 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/PaginationAdmin.jsx                 | JavaScript JSX     |         37 |          0 |          6 |         43 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/SearchBarViandas.jsx                | JavaScript JSX     |         43 |          0 |          5 |         48 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/forms/UsuariosForm.jsx              | JavaScript JSX     |        256 |         23 |         13 |        292 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/forms/ViandasForm.jsx               | JavaScript JSX     |        272 |         21 |         15 |        308 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/listaPedidos/FiltersPedidos.jsx     | JavaScript JSX     |        147 |          1 |          7 |        155 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/menu/CardsMenu.jsx                  | JavaScript JSX     |        143 |          4 |         11 |        158 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/menu/CardsMenuIssue.jsx             | JavaScript JSX     |         69 |          4 |          7 |         80 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/pedidos/exporterPdf.jsx             | JavaScript JSX     |         38 |          3 |          4 |         45 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminLayout/usuarios/FilterUsers.jsx            | JavaScript JSX     |         92 |          0 |         11 |        103 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/cards/CardAllDishes.jsx                         | JavaScript JSX     |         48 |          1 |          6 |         55 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/cards/CardTipes.jsx                             | JavaScript JSX     |         89 |          0 |          7 |         96 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/cards/CardViandasRecommended.jsx                | JavaScript JSX     |         60 |          0 |          8 |         68 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/cards/DetailCard.jsx                            | JavaScript JSX     |          0 |          4 |          2 |          6 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/cards/Pagination.jsx                            | JavaScript JSX     |         48 |          0 |         10 |         58 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/cartCounter/CartCounter.jsx                     | JavaScript JSX     |         11 |          0 |          3 |         14 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/checkout/CardsCheckout.jsx                      | JavaScript JSX     |        206 |          5 |         17 |        228 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/checkout/CatalogRegisterPage.jsx                | JavaScript JSX     |        221 |         16 |         23 |        260 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/deleteFromCart/DeleteFromCart.jsx               | JavaScript JSX     |         15 |          1 |          3 |         19 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/detailll/Detalle.jsx                            | JavaScript JSX     |        130 |          3 |         11 |        144 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/entregaRepartidor/CardsPedidos.jsx              | JavaScript JSX     |        106 |         17 |          5 |        128 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/entregaRepartidor/EstadoPedidos.jsx             | JavaScript JSX     |         74 |        101 |         20 |        195 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/entregaRepartidor/Modallisto.jsx                | JavaScript JSX     |         87 |          1 |          9 |         97 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/footer/Footer.jsx                               | JavaScript JSX     |         58 |          1 |          6 |         65 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/footer/LinkToogleAdminCatalog.jsx               | JavaScript JSX     |         28 |          2 |          4 |         34 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/footer/LoginOptions.jsx                         | JavaScript JSX     |         64 |          0 |          7 |         71 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/footer/WhatsappBubble.jsx                       | JavaScript JSX     |         30 |          0 |          5 |         35 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/formaters/FormResponsiveContainer.jsx           | JavaScript JSX     |         15 |          0 |          2 |         17 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/formaters/RowResponsive.jsx                     | JavaScript JSX     |         14 |          0 |          2 |         16 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/home/ButtonCTAOrderBlock.jsx                    | JavaScript JSX     |         16 |          0 |          2 |         18 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/home/FullWidthHeader.jsx                        | JavaScript JSX     |         83 |          0 |          5 |         88 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/home/Stylebadges.jsx                            | JavaScript JSX     |         76 |          0 |         10 |         86 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/login/LoginForm.jsx                             | JavaScript JSX     |        194 |          5 |         13 |        212 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/mi-cuenta/DetallePedidos.jsx                    | JavaScript JSX     |        130 |          3 |         10 |        143 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/mi-cuenta/MisDatos.jsx                          | JavaScript JSX     |        355 |          2 |         23 |        380 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/mi-cuenta/Pedidos.jsx                           | JavaScript JSX     |        236 |          3 |         17 |        256 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/navbar/NavBar.jsx                               | JavaScript JSX     |        150 |          0 |          9 |        159 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/register/ModalUserError.jsx                     | JavaScript JSX     |         27 |          0 |          3 |         30 |
| /Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/register/ModalUserExit.jsx                      | JavaScript JSX     |         46 |          0 |          3 |         49 |
